1960	-394.5
1970	-396.25
1980	-400.63
1981	-400.23
1982	-400.63
1983	-401.49
1984	-402.19
1985	-403.1
1986	-403.67
1987	-404.54
1988	-405.23
1989	-405.83
1990	-406.83
1991	-407.67
1992	-407.99
1993	-406.94
1994	-407.54
1995	-408.32
1996	-409.18
1997	-409.94
1998	-410.87
1999	-412
2000	-413.2
2001	-414.35
2002	-415.4
2003	-416.24
2004	-416.77
2005	-417.56
2006	-418.54
2007	-419.7
2008	-420.94
2009	-422.17
2010	-423.16
2011	-424
2012	-425.5
2013	-427
2014	-428
2015	-429
2016	-430
2017	-431
